,0
553,"닥터프렌즈를 통해 더 많은 사람이 의학을 친근하게 느끼길 바랍니다. 취미로 별자리를 보러 가거나 과학 상식을 공부하는 사람은 있어도 재미로 해부학을 공부하는 사람은 없잖아요? ‘대중 과학’이라는 말은 있어도 ‘대중 의학’은 없는 것처럼요. 사실 우리 몸보다 우리와 더 가까이 있는 과학은 없는데 말이죠. 이 모든 막연한 거리감이 닥터프렌즈를 통해 해소되길 바랍니다. _ 프롤로그 (9쪽)

정신 질환은 유전적, 환경적, 생물학적인 다양한 요인에 의해 발생하는 질환입니다. 본인의 의지로 혈압과 혈당을 낮추기 어려운 것처럼 정신건강의학과적... 더보기"
554,"‘21세기를 위한 10권의 도서 선정’ 베스트셀러
「참 애썼다 그것으로 되었다」 「나를 사랑하는 연습」 작가 정영욱의 신간.

나를 응원할 용기가 없는 이들을 위해.

비록 우리가 서로를 알지 못하더라도. 평생을 모르고 살았더라도.

“당신, 잘했고 잘하고 있고 잘 될 것이다.”

「참 애썼다 그것으로 되었다」 「나를 사랑하는 연습」 등 이전 도서를 통해 40만 부가량의 판매량을 기록한 에세이 작가 정영욱의 새로운 책이 출간되었다. 작가 정영욱은 이번 책을 통해 당신의 과거와 현재, 그리고 미래를 응원한다.

책을 통해 연결되어 있는 우리는 서로의 얼굴을 알지 못한다. 나이도 성별도, 심지어 이름조차 알지 못한다. 하지만 아무것도 모르기에 예측할 수 있는 것들이 있다. 당신도 나도, 각자의 걱정과 두려움을 안고 있으리라는 것. 자주 흔들리고, 견뎌 왔고, 몹시 지쳤을 거라는 것.

세상에는 나를 안다는 이유로 상처 주는 사람들이 많다. 양방향으로 전달되는 따듯한 언어는 점점 찾아보기 힘들다. “도대체 그런 생각을 왜 해?” “앞으로 어떻게 살려고 그래?” “지금 뭐 하고 있는 거야?” 어느덧 마음을 흔들고 불안하게 만드는 언어들이 더 잦고, 나를 응원할 용기조차 잃어버리게 된다.

하지만, 우리가 아무 이유 없이 상처를 주고받는 것처럼, 우리는 아무 이유 없이 누군가를 격려할 수도 있다. 당신을 잘 알든 잘 알지 못하든, 우리는 서로의 손을 잡아줄 수 있다. 정영욱 작가는 말한다.

아무 일이 없어도 무너지기 일쑤인 우리의 삶이 있다면, 무너지고 있어도 아무 일 없는 듯 ‘잘 되고 있다.’ 말해 줄 수 있는 삶도 분명히 있다.

당신이 조금 더 용감하게 내일을 맞이했으면 한다. 자신을 응원할 수 있었으면 한다. 하지만 그럴 용기조차 없을 때, 이 책을 읽었으면 좋겠다. 한 사람이 당신을 응원할 것이다. 우리가 우리를 응원할 것이다. 아무것도 묻지 않고 조건 없이, 이유 없이.

나를 사랑하는 연습조차 버겁게 느껴질 때. 애써 온 시간이 공허하게 느껴질 때.

그것으로 충분한 당신, 부디 날카로움에 움츠러들지 말길. 흔들리지 말길. 흔들리더라도 자책하지 말길.

당신이 걸어온 길, 당신이 서 있는 곳, 당신이 되고자 하는 것 모두,

잘했고, 잘하고 있고, 잘 될 것이니까."
555,
556,"펴내며 · 6

1.
응원했고 응원하고 있고
응원할 것이다

이유 없음의 위로 · 20
인공위성 · 22
인생 슬럼프가 왔을 때 기억해야 할 것 · 24
나의 가장 큰 적에게 · 28
내일의 나에게 맡기기로 합니다 · 30
제법 괜찮은 사람이 되어 가는 중 · 32
앞 · 37
괜찮아지고 싶어도 괜찮아지지 않을 때 · 39
30대가 되고 나서 알게 된 것들 · 44
상처를 쉽게 허락하지 말 것 · 46
상처받지 않기 위하여 · 47
세상을 알아간다는 것 행복이 두려워지는 것 · 48
나의 맨 앞 · 52
혼자 있고 싶지만 혼자이긴 싫은 마음 · 54
상처가 많은 당신에게 하고 싶은 말 · 55
마음 접기 · 60
마음이 갑갑할 때 필요했던 것들 · 62
당신의 존재 · 66
지나감이라는 기적의 바람이 붑니다 · 67
예전엔 몰랐지만 지금은 알고 있는 것들 · 70
해피 엔딩 · 73
아픈 기억이라는 늪 · 75

2.
이겨냈고 이겨내고 있고
이겨낼 것이다

단 하나의 차이가 전부 · 84
나를 찾아라 · 89
이상과 현실 · 91
일 년에 딱 한 번뿐인 날 · 92
시간 참 빠르다고 느껴졌던 순간들 · 95
거짓말처럼 · 97
우리는 완벽하지 않은 의자처럼 살아갑니다 · 98
영욱아 이거 꼭 기억해야 한다 · 106
누군가의 소유가 된다는 건 · 107
엄마가 끓인 된장찌개 · 109
혼자 살다 보면 느끼게 되는 것들 · 110
고장 나고 싶은 날 · 116
하지 못해 후회되었던 순간 · 118
같은 온도라도 누군가는 따뜻해지고 누군가는 쌀쌀해집니다 · 120
손톱깎이 · 124
잘 살아 그게 최고의 복수야 · 126
나는 되고 있는 중이다 · 130
좋아하는 일을 하면 행복할 수 있을까? · 132
당신의 ‘해 봄’을 응원합니다 · 138

3.
함께했고 함께하고 있고
함께일 것이다

관계는 식물과 같아서 · 148
사람은 변하지 않더라도 사이는 변하기 마련 · 149
영원한 관계는 없다 · 151
요즘 같이 복잡한 세상에서 관계에 덜 상처받기 위한 것들 · 152
감정 소모하지 않는 현명한 방법 · 159
기분이 태도가 되는 사람 · 162
사람의 진가 · 163
다신 마주치고 싶지 않은 사람 · 164
나와 함께하는 사람이 나의 미래입니다 · 166
관계를 오래 지키는 사람들의 공통점 · 172
할 거면 제대로 · 175
여기 거절당할 용기가 있는 사람과 사이가 두텁기에 거절한 사람이 있습니다 · 176
낯간지럽다는 이유로 소중한 친구에게 하지 못했던 말 · 181
말을 해야 상대가 알아줍니다 · 186
익숙해지다 · 189
마음은 곧 선물 받은 것 · 194
당신은 모든 면에서 유한적인 사람입니다 · 196
모두가 답답한 사람들 · 200
말의 왜곡 · 202
진짜 내 목소리 · 205
바쁜 세상에서 나만 느낄 것 같지 않은 것들 · 210
바다가고 싶다는 말 · 212

4.
사랑했고 사랑하고 있고
사랑일 것이다

미련한 마음과 미련한 마음이 만나는 것 · 222
사랑 때문에 아파했던 당신이 이런 사람 만났으면 좋겠다 · 225
정말 좋은 사람이라는 증거 · 227
우리라는 도형 · 229
사랑을 한다는 건 숨 쉬는 것과 같아 · 236
사랑하는 사람에게 편지로 전하고 싶은 마음 · 238
사랑하기 좋은 계절 · 241
미안해 보단 고마워 · 243
사랑은 나보다 상대를 앞에 두는 것 · 245
곁에 두고 싶어지는 사람 · 246
♥ · 252
벌꿀은 유전적으로 벌집 모양을 기억한대요 · 253
바라는 행복이 다른 것 · 256
그 애를 행복하게 하는 건 내가 아니었다 · 259
마음이 문제야 · 262
진짜 외로움 · 263
사랑에 실패한 당신에게 이렇게 사랑하면 어떨지 · 264
내가 하는 일 중 가장 지독한 일 · 269
넌 언제나 일부였고 난 언제나 전부였지 · 271
서로의 마지막 모습 · 274
사랑하는 사람과 이별하고 가장 슬픈 것 · 277
이젠 부질없다 해도 이미 소중해져 버린 것이 있다 · 279
걔랑? 갑자기 왜 헤어졌어? · 282
당신 이전의 나 · 284

마치며 · 290"
557,"그러니 나는 말할 수 있다. 잘 안 되고 있더라도, 잘 될 것이라고 해도 된다. 아무 일이 없어도 무너지기 일쑤인 우리의 삶이 있다면, 무너지고 있어도 아무 일 없는 듯 ‘잘 되고 있다.’ 말해 줄 수 있는 삶도 분명히 있다. 7P

어떠한 힘듦인지 따지기 전에 당신에게 말하고 싶다. 괜찮다. 다 괜찮다. 어떤 위로는 이유라는 주석이 달리지 않음에 더욱 따뜻해지는 것이니. 어떤 격려는 힘듦의 깊이를 알지 못함에 더 와닿을 수 있는 것이니. 20P

오늘도 비록 여느 날과 다를 것 없이 힘들었지만, 그래도 그냥 이렇게 별 탈 ... 더보기"
558,"“오늘만큼은 강한 척하지 않아도 된다는 아주 작은 위로입니다.
…가끔씩은 그래도 괜찮습니다.“

걱정과 두려움을 껴안고 살아가는 우리에게는 필요한 말이 있다.
당신의 여린 마음을 다독이는 마법의 언어.

「참 애썼다 그것으로 되었다」 「나를 사랑하는 연습」을 통해 스테디셀러 에세이스트로 자리매김한 정영욱 작가가 신간 「잘했고 잘하고 있고 잘 될 것이다」로 돌아왔다. 오랫동안 지친 마음들에 위로와 응원을 전해 온 그답게, 이번 책에 또한 다정한 메시지를 가득 담았다.

정영욱 작가의 언어는 늘 독자의 마음 한편에 방을 ... 더보기"
559,"이 책이 오래도록 독자들에게 사랑받는 이유는 “미술은 누구나 쉽고 재밌게 가지고 놀 수 있는 장난감”이라는 모토 아래, 멀게만 느껴졌던 화가들을 인간미 넘치는 ‘형’과 ‘누나’로 만드는 작가의 재기발랄한 스토리텔링에 있을 것이다. 『방구석 미술관』과 함께라면 오르세 미술관의 대표 화가인 ‘고갱’, ‘폴 세잔’, ‘반 고흐’를 내 방에 편하게 만날 수 있을 뿐 아니라, 허심탄회하고 인간적인 그들의 면모에 나도 모르는 사이 미술의 매력에 푹 빠지게 될 것이다."
560,
561,"들어가며
01. 죽음 앞에 절규한 에드바르트 뭉크, 사실은 평균 수명을 높인 장수의 아이콘?
02. 미술계 여성 혁명가 프리다 칼로, 알고 보니 원조 막장드라마의 주인공?
03. 나풀나풀 발레리나의 화가 에드가 드가, 알고 보니 성범죄 현장을 그렸다고?
04. 전 세계가 사랑한 영혼의 화가 빈센트 반 고흐, 사실은 악마에게 영혼을 빼앗겼다고?
05. 세상에서 가장 로맨틱한 그림 〈키스〉의 구스타프 클림트, 사실은 테러를 일삼은 희대의 반항아?
06. 19금 드로잉의 대가 에곤 실레, 사실은 둘째가라면 서러운 순수 지존?
07. 자연의 삶을 동경했던 폴 고갱, 알고 보니 원조 퇴사학교 선배?
08. 그림은 아는데 이름은 모르는 에두아르 마네, 사실은 거장들이 업어 모신 갓파더?
09. 로맨틱 풍경화의 대명사 클로드 모네, 알고 보니 거친 바다와 싸운 상남자?
10. 사과 하나로 파리를 접수한 폴 세잔, 알고 보면 그 속사정은 맨땅에 헤딩맨?
11. 20세기가 낳은 천재 화가 파블로 피카소, 알고 보면 선배의 미술을 훔친 도둑놈?
12. 순수한 사랑을 노래한 색채의 마술사 마르크 샤갈, 사실은 밀애를 나눈 또 다른 사랑이 있었다?
13. 최초의 추상미술을 창조한 바실리 칸딘스키, 알고 보면 최강 연애 찌질이?
14. 현대미술의 신세계를 연 마르셀 뒤샹, 알고 보니 몰래카메라 장인?
참고문헌
도판 목록"
562,"▼ 죽음 앞에서 절규한 에드바르트 뭉크,
사실은 평균 수명을 높인 장수의 아이콘?

절규의 화가 뭉크. 단명하거나 요절한 줄 알았는데, 착각이었네요. 그는 평생을 관절염과 열병에 시달리면서도, 당시 평균 수명의 30년을 더 살았다고 합니다. 과연 장수 아이콘이라고 할 만하네요. 뭉크만의 장수 비결이 따로 있기라도 했던 걸까요?
(중략) 보통 사람들은 일상에서 죽음을 잘 의식하지 않죠. 그런데 뭉크는 평생 죽음을 의식하며 살았습니다. 그것도 매일매일. 참 신기하죠? 그 슬프고 절망적인 것을 매일 생각하며 살았다니 솔직히 안타... 더보기"
563,"★ 미술교양 입문서 최초 100쇄! ★
★ 최장 기간 예술 분야 베스트셀러 ★
★ 국립중앙도서관 추천도서 선정 ★

세상에서 가장 술술 읽히는 미술책!
《방구석 미술관》이 어느덧 100쇄를 맞이했습니다.

《방구석 미술관》은 2018년 출간 이래 방송과 광고업계에까지 ‘방구석 신드롬’과 미술 열풍을 일으킨 원조 미술책으로, ‘미술은 고상하고 우아한 사람들의 전유물’이라고 생각했던 대중들을 미술에 흠뻑 빠지게 만들며 지금까지 큰 사랑을 받고 있다. 최장 기간 예술 베스트셀러ㆍ스테디셀러를 차지하며 새로운 미술 교양... 더보기"
564,"특별한 사람들만 부자가 되는 걸까? 그렇지 않다. 이 책의 저자도 특별하지 않다.
지방대 낙제생, 무 스펙 백수, 초짜 신입, 반지하 세입자, 실직자.
이런 그가 어떻게 상위 1% 부자가 되었을까?

이제는 부자 되는 방법의 패러다임을 바꿀 때다. ‘오케팅(Oketing)’으로 사고의 틀을 180° 전환하면 누구나 경제적 자유를 얻을 수 있다. 오케팅은 개인과 기업, 제품, 서비스 등 어디에나 적용할 수 있는 생계형 마케팅 전략이다. 저자는 흔히 말하는 주식과 사업으로 성공하지 않았다. 말단 사원일 때부터 리스크 전혀 없이 오로지 오케팅만으로 상위 1% 부자가 되었다. 이 책에는 평범한 사람도 상위 5% 부자가 되는 방법이 담겨 있다.

저자가 상위 1% 부자가 되기까지의 여정을 함께하다 보면 어느새 성공으로 향하는 길이 보인다. 특히 오케팅하는 방법을 보물선 항해에 빗대어 풀어내 누구나 쉽게 익히고 실천할 수 있도록 했다. 이 책은 오케팅을 실생활뿐만 아니라 모든 곳에 적용해 성공할 수 있는 사고력을 길러 준다. 직업이나 성별, 나이에 무관하게 누구나 읽고 배우는 데 막힘이 없어 삶의 질을 높이고 싶은 모든 이에게 희망을 선사한다.

특별하지 않은 사람도 특별해지는 전략,
오케팅을 익히고 실천한다면 95%와 다른 5%의 삶을 살게 될 것이다."
565,"▶ 『오케팅』 북트레일러




* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
566,
567,"프롤로그

CHAPTER 1 왜 오케팅인가
01 상위 5% 부자가 되는 세 가지 방법
02 개인과 사업은 뗄 수 없는 관계다

CHAPTER 2 오두환의 생계형 오케팅
01 길거리 봉고차 기술자에서 사장님이 되신 아버지
02 밥값 걱정하던 백수, 잘나가는 약장수가 되다
03 공부 꽝 낙제 대학생, 상위 10% 교사가 되다
04 무(無) 스펙 사회 초년생, 대형 신문사에 합격하다
05 사무실 초짜 막내, 직원 100명의 연구소 소장이 되다
06 반지하 원룸 세입자, 건물주가 되다
07 무료 강의도 거절당하던 강사, 스타 강사가 되다
08 출간 거절당한 글쟁이, 베스트셀러 작가가 되다
09 코로나19로 해고된 실직자, 여러 기업의 대표가 되다

CHAPTER 3 무엇이든 되게 하는 오케팅

CHAPTER 4 보물선 항해_오케팅 6편 15계
1편 정신
01계 영혼: 보물선은 보물을 찾지 않는다
02계 보물: 진귀한 보물 두 가지를 찾아라
2편 식사
03계 성명: 보물선에 옳은 이름을 지어라
04계 식량: 보물선의 식량 4종을 정하라
05계 문제: 지금 식량을 빼앗기고 있다
3편 주거
06계 위치: 생사가 걸린 위치를 찾아라
07계 전략: 무역선은 자주 오지 않는다
08계 장벽: 무엇으로 살아남을 것인가
4편 의복
09계 각본: 누가, 왜, 어떻게 그 일을 하는가
10계 요약: 한마디로 모든 것을 증명하라
5편 무리
11계 소통: 선장으로서 리더십을 발휘하라
12계 출격: 오케팅? 로케팅?
6편 경쟁
13계 광고: 신나게 팔아라. 보물을 찾아라
14계 분석: 뭐가 됐든, 닻을 올려라
15계 점검: 항해는 계속되어야 한다

에필로그"
568,"P. 20
직장인이 오케팅을 제대로 몸에 익힌다면 직장 상사나 대표에게 인정받아 승진하고 사업을 키울 확률이 높아진다. 큰 투자나 리스크 없이 5% 부자에 진입할 수 있는 것이다. 자신에게 주어진 일만 죽어라 하고 한 기술만 파면 절대 부자가 될 수 없다.

P. 21
사장이 오케팅을 제대로 몸에 익힌다면 사업을 확대하고, 통솔력을 얻으며, 회사의 진정한 선장이 될 수 있다. 특히 신규 사업에 관한 아이디어나 체계적인 시스템을 실행하는 데 더 큰 추진력을 얻을 수 있다. 영업 능력이 뒷받침되는 것은 물론이고, 직원들도 저절로 주인... 더보기"
569,"13주 연속 베스트셀러, 국내도서 종합 베스트셀러 1위,
화제의 도서 『광고의 8원칙』의 저자 오두환,
이번에는 『오케팅』으로 당신의 삶을 뒤흔든다!

경영자, 직장인, 학생, 주부 등
누구에게나 오케팅이 필요하다
오케팅을 반복하면
당신도 상위 5% 부자가 될 수 있다!

누구나 부자가 되기를 꿈꾼다. 또 어디서든 인정받기를 원한다. 자신의 분야에서 성공하기 위해 많은 이들이 피나는 노력을 한다. 하지만 특별한 전략 없이 무의식적으로 노력만 하면 성공으로 가는 길은 더딜 뿐이다.

똑같은 일을 해도 ‘방법’을 아는 사람은 ... 더보기"
570,"【책을 출간하며.... 김연경 인터뷰 】

저의 좌우명이자 힘이 들 때 떠 올리는 글귀는 “초심을 잃지 말자” 입니다. 혹시라도 자만 하거나 일이 잘 풀리지 않을 때 항상 마음속으로 생각 합니다.
2017년은 저에게 특별한 해 입니다. 팬 분들의 사랑도 가장 가득했던 해이며 나이도 이제 30대에 들어선 해 이기도 합니다. 이번 에세이를 진행하면서 저의 유년시절부터 20대 시절까지 다시 되돌아가 다시 ‘초심’으로 돌아갈 수 있는 계기가 되었으며, 남은 선수생활뿐만 아니라 은퇴 후 계획까지 생각 할 수 있는 미래의 계획도 세울 수 있었습니다. 또한 배구를 할 수 있는 날들이 이전 시간 보다 길지 않다는 것도 느낄 수 있었습니다.
이 책을 통해 배구선수 김연경 뿐만 아닌 인간 김연경의 모습 또한 따뜻한 시선으로 봐주시길 부탁드립니다.
앞으로도 많은 응원 부탁 드립니다!"
571,"▶ 『아직 끝이 아니다』 김연경 인터뷰 영상

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
572,
573,"추천사
서문

〈1장〉 지금까지 노력해온 나 자신을 믿는다.
1. 처음은 특별하다
2. 끝까지 가봐야 안다
3. 한계를 또 다른 가능성으로
4. 관찰하고 분석하고 응용하고 감각하다
5. 스스로를 믿고 몰입하는 순간이 기적을 만든다
6. 당연한 승리는 없다
7. 언제나 내 편
8. 어리고 어설펐던 그때 그 시절

〈2장〉 꿈꾸는 것이 무엇이든 해야 하고, 할 수 있다.
1. 반전이 시작되다
2. 나는 누구고 여긴 어디인가
3. 제일 먼저 배운 일본어는 ‘츠카레마스’
4. 코트 위에서 우리는 같은 꿈을 꾸었다
5. 이유 없이 배구가 좋았다
6. 걸크러시의 핵심은 실력이다
7. 내 본업은 배구 선수

〈3장〉 누구도 이견을 제기할 수 없는 실력을 보여주겠다.
1. 새로운 도전, 페네르바체
2. 한국에서 온 이름 모를 선수
3. 세상에서 가장 강한 상대
4. 터키 생활 적응기
5. 가보자 연경아, 경기 시작이다!
6. 경기는 계속된다"
574,아픈 만큼 성숙한다는 말이 있다. 보통 이 말은 마음에 상처를 겪고 난 후 성숙해진다는 의미로 쓰인다. 그러나 나는 마음이 아니라 무릎이 아파서 수술을 하고 재활을 하면서 한층 성숙해질 수 있었다. 프로로 데뷔한 시점에서 불가피하게 한 수술이라 앞으로 선수로서 오래도록 활동하려면 몸을 어떻게 관리해야 하는지에 대해서도 구체적으로 고민하게 된 계기였다. 물론 인생은 생각대로 되지 않는다. 특히 나는 생각대로 잘 하지 못해서 경기가 시작되고 몰입을 하다보면 어느새 부상 부위를 조심해야 한다는 다짐은 온데간데없이 사라지고 엄습하는 고통을... 더보기
575,"〈개정판 출간〉
- 김연경 선수 친필 싸인 추가 (인쇄)
- 중국 상하이, 터키 엑자시바시 이미지 추가
- 본문 내 이미지 교체

◆ 꿈을 꾸는 것이 무엇이든 해야 하고, 할 수 있다

한국 여자배구 사상 최고의 왼쪽 공격수 김연경이 주목받지 못했던 유년시절을 이겨내고 일본과 터키에 진출하여 세계를 사로잡은 이야기를 신간 〈아직 끝나지 않았다〉에 담아냈다.
모두가 인정하는 세계 정상급 배구 선수 김연경은 최적의 신체 조건과 더불어 공격과 수비를 아우르는 퍼포먼스로 좌중을 압도하는 경기를 펼치며 한국 배구계에 돌풍을 불... 더보기"
576,"『정의란 무엇인가』는 27세에 최연소 하버드대학교 교수가 되었고, 존 롤스의 정의론을 비판한 《자유주의와 정의의 한계》를 발표하면서 세계적 학자로 인정받은 정치 철학가 마이클 샌델의 대표작이다. 샌델 교수가 실제로 하버드에서 강의한 수업 ‘Justice(정의)’를 바탕으로 쓴 책으로, 현재까지도 하버드대학교에서 가장 인기 있고 영향력 있는 강의 중 하나로 손꼽힌다.

이 책은 구제 금융, 모병제, 대리 출산과 같은 현실 문제를 비롯해 경로를 이탈한 전차, 고통의 대가를 계량하는 시험과 같은 사고 실험을 주제로 삼아, 위대한 사상가들은 ‘정의’에 대해 어떻게 생각했는지 비판적으로 살펴본다. 가령, 저자는 벤담과 밀의 공리주의는 다수에게 도움이 되는 결정을 지지하지만, 인간의 존엄성 문제에는 도덕적 한계를 지니고 있다고 말한다.

하지만 저자는 이 책에 ‘정의’에 대한 확고한 답을 내리지는 않는다. 외려, 책을 읽는 독자들도 위대한 사상가들과 어깨를 나란히 하며 자신의 논리를 펼쳐나갈 수 있음을 보여줌으로써, 독자들로 하여금 정의에 대한 자신의 견해를 수정하고 바로잡는 기회를 만나는 획기적인 프레임을 선사하고, 나아가 그들 자신이 ‘무엇을’, ‘왜’ 그렇게 생각하는지 알도록 한다."
577,"이 책에 쏟아진 찬사 / 한국어판 서문

1장 정의란 옳고 그름을 판단하는 문제일까?

2장 최대 행복 원칙: 공리주의

3장 우리는 우리 자신을 소유하는가?: 자유지상주의

4장 대리인 고용: 시장 논리의 도덕성 문제

5장 동기를 중시하는 시각: 이마누엘 칸트

6장 평등을 강조하는 시각: 존 롤스

7장 소수 집단 우대 정책 논쟁: 권리 vs. 자격

8장 정의와 도덕적 자격: 아리스토텔레스

9장 우리는 서로에게 어떤 의무를 지는가?: 충성심의 딜레마

10장 정의와 공동선

주 / 해제 / 찾아보기"
578,"이 책은 사상의 역사를 다루는 것이 아니라 여러 도덕적?철학적 사고를 여행한다. 이 책의 목적은 누가 누구에게 영향을 미쳤는지 알려 주는 정치 사상사를 다루는 데 있는 것이 아니라, 독자들로 하여금 정의에 대한 자신의 견해를 정립하고 비판적으로 검토하도록 만들어, 자신이 무엇을 왜 그렇게 생각하는지 알도록 하는 데 있다.
_ 1장 [정의란 옳고 그름을 판단하는 문제일까?] 중에서

2007년, 일흔아홉 살의 잭 키보키언 박사는 죽기를 원하는 말기 환자들에게 독극물을 투여한 죄로 미시간 교도소에서 8년간 복역하다 출소했다. ‘죽... 더보기"
579,"한국에 ‘정의’ 열풍을 불러일으킨 마이클 샌델은 구제 금융, 대리 출산, 동성 결혼, 과거사 공개 사과 등 현대 사회에서 우리가 흔히 부딪히는 문제를 통해 ‘무엇이 정의로운가’에 대한 해답을 탐구했다. 이 책은 탁월한 정치 철학자들이 남긴 시대를 초월한 철학적인 질문을 알기 쉽게 소개한다. 이를 통해 옳고 그름, 정의와 부당함, 평등과 불평등, 개인의 권리와 공동선을 둘러싼 주장들이 경쟁하는 공적 담론과 토론의 장에서 정의에 관한 자신만의 견해를 정립하고 논리 기반을 굳건하게 다지는 토대를 제공한다. 이 책은 현대 사회의 문제를 진... 더보기"
580,"바이오센서를 만드는 과학도에서 이제는 소설을 쓰는 작가 김초엽. 어디에도 없는 그러나 어딘가에 있을 것 같은 상상의 세계를 특유의 분위기로 손에 잡힐 듯 그려내며, 정상과 비정상, 성공과 실패, 주류와 비주류의 경계를 끊임없이 질문해온 그의 첫 소설집 『우리가 빛의 속도로 갈 수 없다면』.

《관내분실》로 2017년 제2회 한국과학문학상 중단편부문 대상을, 《우리가 빛의 속도로 갈 수 없다면》으로 가작을 동시에 받으며 작품 활동을 시작한 저자의 이야기를 만나볼 수 있다. 신인소설가로서는 드물게 등단 일 년여 만에 《현대문학》, 《문학3》, 《에피》 등 여러 지면을 통해 발표한 작품으로 펴낸 첫 소설집으로, 근사한 세계를 그려내는 상상력에서 한 발 더 나아가, 우리를 돌아보게 하는 질문을 던지는 일곱 편의 작품이 수록되었다."
581,"☞ 수상내역
- 2019년 제43회 오늘의 작가상 수상

▶ 『우리가 빛의 속도로 갈 수 없다면』 북트레일러

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
582,"순례자들은 왜 돌아오지 않는가 007
스펙트럼 057
공생 가설 097
우리가 빛의 속도로 갈 수 없다면 145
감정의 물성 189
관내분실 219
나의 우주 영웅에 관하여 273

해설 | 인아영(문학평론가)
아름다운 존재들의 제자리를 찾아서 321
작가의 말 337"
583,"소피, 어디서부터 이야기를 시작해야 할까. 이 편지가 네게 도착했을 때는 이미 내가 떠났다는 소문이 퍼진 이후이겠지. 어른들이 많이 화가 났을까. 그동안 나처럼 성년이 되기 전에 마을을 뛰쳐나온 사람은 없었으니까. 괜찮다면 대신 이야기를 전해줄래? 여전히 그분들을 많이 사랑한다고, 하지만 내 결정을 후회하지 않는다고 말야. 너도 내가 왜 이런 선택을 했는지 궁금할 거야. 믿을지 모르겠지만 나는 지금 ‘시초지’로 가고 있어. -「순례자들은 왜 돌아오지 않는가」

떠나겠다고 대답할 때 그는 내가 보았던 그의 수많은 불행의 얼굴들 ... 더보기"
584,"“젊은 소설가의 첫 작품집이라고는 믿기지 않을 정도로 매끄럽게 이어지는 이야기 속에서 내가 생각하는 소설가의 눈과 입을 발견했다. 시선에서 질문까지, 모두 인상적이다.”
-김연수(소설가)

“마음을 다 맡기며 좋아할 수 있는 새로운 작가를 만나서 벅차다.”
-정세랑(소설가)

★우리 SF의 우아한 계보, 김초엽 첫 소설집
지난겨울까지 바이오센서를 만드는 과학도였던 김초엽 작가는, 이제 소설을 쓴다.
어디에도 없는 그러나 어딘가에 있을 것 같은, 상상의 세계를 특유의 분위기로 손에 잡힐 듯 그려내며, 정상과 ... 더보기"
585,"과학 교양서의 고전『코스모스』. 이 책에서 저자는 우주의 탄생과 은하계의 진화, 태양의 삶과 죽음, 우주를 떠돌던 먼지가 의식 있는 생명이 되는 과정, 외계 생명의 존재 문제 등에 관한 내용을 수 백장의 사진과 일러스트를 곁들여 흥미롭게 설명한다. 현대 천문학을 대표하는 저명한 과학자인 저자는 이 책에서 사람들의 상상력을 사로잡고, 난해한 개념을 명쾌하게 해설하는 놀라운 능력을 마음껏 발휘한다.

그는 에라토스테네스, 데모크리토스, 히파티아, 케플러, 갈릴레오, 뉴턴, 다윈 같은 과학의 탐험가들이 개척해 놓은 길을 따라가며 과거, 현재, 미래의 과학이 이뤘고, 이루고 있으며, 앞으로 이룰 성과들을 알기 쉽게 풀이해 들려준다. 그리고 과학의 발전을 심오한 철학적 사색과 엮어 장대한 문명사적 맥락 속에서 코스모스를 탐구한 인간 정신의 발달 과정으로 재조명해 낸다."
586,"1. 코스모스의 바닷가에서
2. 우주 생명의 푸가
3. 지상과 천상의 하모니
4. 천국과 지옥
5. 붉은 행성을 위한 블루스
6. 여행자가 들려준 이야기
7. 밤하늘의 등뼈
8. 시간과 공간을 가르는 여행
9. 별들의 삶과 죽음
10. 영원의 벼랑 끝
11. 미래로 띄운 편지
12. 은하 대백과 사전
13. 누가 우리 지구를 대변해 줄까?"
587,"시간과 공간을 초월한 빅 히스토리〈코스모스〉

1980년 7억 5천만이 시청한 칼 세이건의〈코스모스〉가 2014년, 내셔널지오그래픽채널에서 더 화려하게 부활한다!〈코스모스〉는 진행자인 닐 타이슨 박사와 함께 시간과 공간을 여행하는 방식으로 전개된다. 닐 타이슨 박사는 원작에서도 등장했던 ‘상상의 우주선(SOTI, Ship of the imagination)’을 타고 자연의 법칙과 생명의 기원을 찾아 광대한 우주 공간과 137억년의 시간을 자유롭게 항해하는 모습을 선보인다. 기존 다큐멘터리를 뛰어넘는 지구와 자연의 아름다움을 담아... 더보기"
